Description	LabelReview.0	Effectivity.0	PartNumber	Rev.0	RevDescription.0	VariableData	variable.LotNo	variable.MfgDate	variable.REFNo	variable.SerialNo	variable.UseBy
"TXT, LBL, BAG, 3180OXI"	6262		PC-6431-51A	100	RELEASE	Off	Off	true	Off	true	Off
"TXT, LBL, BAG, 3304MDD"	6262		PC-6434-51A	100	RELEASE	Off	Off	true	Off	true	Off
"TXT, LBL, BAG, 3304OXI"	6262		PC-6435-51A	100	RELEASE	Off	Off	true	Off	true	Off
"TXT, LBL, BAG, 6004000"	6262		PC-6436-51A	100	RELEASE	Off	Off	true	Off	true	Off
"TXT, LBL, BAG, 6004001"	6262		PC-6437-51A	100	RELEASE	Off	Off	true	Off	true	Off
"TXT, LBL, BAG, 6004004"	6262		PC-6438-51A	100	RELEASE	Off	Off	true	Off	true	Off
"TXT, LBL, BAG, 6004006"	6262		PC-6439-51A	100	RELEASE	Off	Off	true	Off	true	Off
"TXT, LBL, BAG, 6004011"	6262		PC-6440-51A	100	RELEASE	Off	Off	true	Off	true	Off
"TXT, LBL, BAG, 6004500"	6262		PC-6442-51A	100	RELEASE	Off	Off	true	Off	true	Off
"TXT, LBL, BAG, 6004501"	6262		PC-6443-51A	100	RELEASE	Off	Off	true	Off	true	Off
"TXT, LBL, BAG, 6004505"	6262		PC-6444-51A	100	RELEASE	Off	Off	true	Off	true	Off
"TXT, LBL, BAG, 6004506"	6262		PC-6445-51A	100	RELEASE	Off	Off	true	Off	true	Off
"TXT, LBL, BAG, 6024501"	6262		PC-6446-51A	100	RELEASE	Off	Off	true	Off	true	Off
"TXT, LBL, BAG, 6024505"	6262		PC-6447-51A	100	RELEASE	Off	Off	true	Off	true	Off
"TXT, LBL, BAG, 6024511"	6262		PC-6448-51A	100	RELEASE	Off	Off	true	Off	true	Off
"TXT, LBL, BAG, 8400D"	6262		PC-6450-51A	100	RELEASE	Off	Off	true	Off	true	Off
"TXT, LBL, BAG, 8400DMDD"	6262		PC-6451-51A	100	RELEASE	Off	Off	true	Off	true	Off
"TXT, LBL, BAG, 8400DOXI"	6262		PC-6452-51A	100	RELEASE	Off	Off	true	Off	true	Off
"TXT, LBL, BAG, 8400MDD"	6262		PC-6453-51A	100	RELEASE	Off	Off	true	Off	true	Off
"TXT, LBL, BAG, 8401"	6262		PC-6454-51A	100	RELEASE	Off	Off	true	Off	true	Off
"TXT, LBL, BAG, 8401MDD"	6262		PC-6455-51A	100	RELEASE	Off	Off	true	Off	true	Off
"TXT, LBL, BAG, 9004000"	6262		PC-6456-51A	100	RELEASE	Off	Off	true	Off	true	Off
"TXT, LBL, BAG, 9004001"	6262		PC-6457-51A	100	RELEASE	Off	Off	true	Off	true	Off
"TXT, LBL, BAG, 9004002"	6262		PC-6458-51A	100	RELEASE	Off	Off	true	Off	true	Off
"TXT, LBL, BAG, 9004005"	6262		PC-6460-51A	100	RELEASE	Off	Off	true	Off	true	Off
"TXT, LBL, BAG, 9004007"	6262		PC-6461-51A	100	RELEASE	Off	Off	true	Off	true	Off
"TXT, LBL, BAG, 9004050"	6262		PC-6462-51A	100	RELEASE	Off	Off	true	Off	true	Off
"TXT, LBL, BAG, 9004051"	6262		PC-6463-51A	100	RELEASE	Off	Off	true	Off	true	Off
"TXT, LBL, BAG, 9004500"	6262		PC-6464-51A	100	RELEASE	Off	Off	true	Off	true	Off
"TXT, LBL, BAG, 9004501"	6262		PC-6465-51A	100	RELEASE	Off	Off	true	Off	true	Off
"TXT, LBL, BAG, 9004502"	6262		PC-6466-51A	100	RELEASE	Off	Off	true	Off	true	Off
"TXT, LBL, BAG, 9004503"	6262		PC-6467-51A	100	RELEASE	Off	Off	true	Off	true	Off
"TXT, LBL, BAG, 9004550"	6262		PC-6468-51A	100	RELEASE	Off	Off	true	Off	true	Off
"TXT, LBL, BAG, 9004551"	6262		PC-6469-51A	100	RELEASE	Off	Off	true	Off	true	Off
"TXT, LBL, BAG, 9024500"	6262		PC-6470-51A	100	RELEASE	Off	Off	true	Off	true	Off
"TXT, LBL, BAG, 9024501"	6262		PC-6471-51A	100	RELEASE	Off	Off	true	Off	true	Off
"TXT, LBL, BAG, 9024550"	6262		PC-6472-51A	100	RELEASE	Off	Off	true	Off	true	Off
"TXT, LBL, BAG, 9024551"	6262		PC-6473-51A	100	RELEASE	Off	Off	true	Off	true	Off
"TXT, LBL, BAG, 920654220"	6262		PC-6474-51A	100	RELEASE	Off	Off	true	Off	true	Off
"TXT, LBL, BAG, 920654220A"	6262		PC-6475-51A	100	RELEASE	Off	Off	true	Off	true	Off
"TXT, LBL, BAG, 920654225"	6262		PC-6476-51A	100	RELEASE	Off	Off	true	Off	true	Off
"TXT, LBL, BAG, 920654230"	6262		PC-6477-51A	100	RELEASE	Off	Off	true	Off	true	Off
"TXT, LBL, BAG, 920654230A"	6262		PC-6478-51A	100	RELEASE	Off	Off	true	Off	true	Off
"TXT, LBL, BAG, 920654235"	6262		PC-6479-51A	100	RELEASE	Off	Off	true	Off	true	Off
"TXT, LBL, BAG, 920654235A"	6262		PC-6480-51A	100	RELEASE	Off	Off	true	Off	true	Off
"TXT, LBL, BAG, 920654325"	6262		PC-6481-51A	100	RELEASE	Off	Off	true	Off	true	Off
"TXT, LBL, BAG, 920654335"	6262		PC-6482-51A	100	RELEASE	Off	Off	true	Off	true	Off
"TXT, LBL, BAG, 920654335A"	6262		PC-6483-51A	100	RELEASE	Off	Off	true	Off	true	Off
"TXT, LBL, BAG, 920657235"	6262		PC-6484-51A	100	RELEASE	Off	Off	true	Off	true	Off
"TXT, LBL, BAG, 920657335"	6262		PC-6485-51A	100	RELEASE	Off	Off	true	Off	true	Off
"TXT, LBL, BAG, 920674225"	6262		PC-6486-51A	100	RELEASE	Off	Off	true	Off	true	Off
"TXT, LBL, BAG, 920674235"	6262		PC-6487-51A	100	RELEASE	Off	Off	true	Off	true	Off
"TXT, LBL, BAG, 920674235A"	6262		PC-6488-51A	100	RELEASE	Off	Off	true	Off	true	Off
"TXT, LBL, BAG, 920754235"	6262		PC-6489-51A	100	RELEASE	Off	Off	true	Off	true	Off
"TXT, LBL, SHELF CTN, 9212A"	6262		PC-6490-51A	100	RELEASE	Off	Off	true	Off	true	Off
"TXT, LBL, BAG, 925454220"	6262		PC-6492-51A	100	RELEASE	Off	Off	true	Off	true	Off
"TXT, LBL, BAG, 925454220S"	6262		PC-6493-51A	100	RELEASE	Off	Off	true	Off	true	Off
